filmweb_id,title,title_original,filmweb_url,year,rating,vote_count,imdb_id,vote_distribution,vote_count,rating,title,year
151,Poradnik pozytywnego myślenia,Silver Linings Playbook,http://www.filmweb.pl/film/Poradnik+pozytywnego+my%C5%9Blenia-2012-506803,2012,72,179455
152,Harry Potter i Komnata Tajemnic,Harry Potter and the Chamber of Secrets,http://www.filmweb.pl/Harry.Potter.I.Komnata.Tajemnic,2002,73,179724
153,Sami swoi,,http://www.filmweb.pl/Sami.Swoi,1967,79,179537
154,Avengers,The Avengers,http://www.filmweb.pl/film/Avengers-2012-371515,2012,75,177197
155,Indiana Jones i ostatnia krucjata,Indiana Jones and the Last Crusade,http://www.filmweb.pl/film/Indiana+Jones+i+ostatnia+krucjata-1989-1213,1989,77,179431
156,Joe Black,Meet Joe Black,http://www.filmweb.pl/Joe.Black,1998,77,179023
157,"Złap mnie, jeśli potrafisz",Catch Me If You Can,http://www.filmweb.pl/Zlap.Mnie.Jesli.Potrafisz,2002,78,178197
158,Czerwony smok,Red Dragon,http://www.filmweb.pl/Czerwony.Smok,2002,75,178159
159,Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,http://www.filmweb.pl/film/Harry+Potter+i+Insygnia+%C5%9Amierci%3A+Cz%C4%99%C5%9B%C4%87+I-2010-396969,2010,75,176211
160,Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,http://www.filmweb.pl/film/Harry+Potter+i+Insygnia+%C5%9Amierci%3A+Cz%C4%99%C5%9B%C4%87+I-2010-396969,2010,75,176211
161,Skyfall,,http://www.filmweb.pl/film/Skyfall-2012-451244,2012,74,173013
162,Raport mniejszości,Minority Report,http://www.filmweb.pl/Raport.Mniejszosci,2002,74,175963
163,Jeździec bez głowy,Sleepy Hollow,http://www.filmweb.pl/film/Je%C5%BAdziec+bez+g%C5%82owy-1999-844,1999,75,175604
164,Sherlock Holmes: Gra cieni,Sherlock Holmes: A Game of Shadows,http://www.filmweb.pl/film/Sherlock+Holmes%3A+Gra+cieni-2011-556864,2011,76,175385
165,Dzień Niepodległości,Independence Day,http://www.filmweb.pl/film/Dzie%C5%84+Niepodleg%C5%82o%C5%9Bci-1996-5289,1996,73,173851
166,Ratatuj,Ratatouille,http://www.filmweb.pl/Ratatuj,2007,72,173633
167,Katyń,,http://www.filmweb.pl/Katyn,2007,68,173645
168,Ojciec chrzestny II,The Godfather: Part II,http://www.filmweb.pl/2.Ojciec.Chrzestny,1974,85,171197
169,Constantine,,http://www.filmweb.pl/Constantine,2005,74,172306
170,Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug,http://www.filmweb.pl/film/Hobbit%3A+Pustkowie+Smauga-2013-469867,2013,78,168679
171,Gwiezdne wojny: Część I - Mroczne widmo,Star Wars: Episode I - The Phantom Menace,http://www.filmweb.pl/Mroczne.Widmo,1999,74,169454
172,Dystrykt 9,District 9,http://www.filmweb.pl/film/Dystrykt+9-2009-464478,2009,71,171066
173,Harry Potter i Książę Półkrwi,Harry Potter and the Half-Blood Prince,http://www.filmweb.pl/film/Harry+Potter+i+Ksi%C4%85%C5%BC%C4%99+P%C3%B3%C5%82krwi-2009-142402,2009,74,169624
174,Dirty Dancing,,http://www.filmweb.pl/film/Dirty+Dancing-1987-11726,1987,74,169287
175,"Job, czyli ostatnia szara komórka",,http://www.filmweb.pl/Job.Ostatnia.Szara.Komorka,2006,60,168937
176,Przekręt,Snatch.,http://www.filmweb.pl/Przekret,2000,80,167398
177,Choć goni nas czas,The Bucket List,http://www.filmweb.pl/Choc.Goni.Nas.Czas,2007,76,166579
178,Matrix Reaktywacja,The Matrix Reloaded,http://www.filmweb.pl/Matrix.Reaktywacja,2003,72,165996
179,12 małp,Twelve Monkeys,http://www.filmweb.pl/12.Malp,1995,76,165979
180,Wszyscy jesteśmy Chrystusami,,http://www.filmweb.pl/Wszyscy.Jestesmy.Chrystusami,2006,71,165797
181,Piła,Saw,http://www.filmweb.pl/Pila,2004,67,166175
182,The Ring,,http://www.filmweb.pl/Ring,2002,70,164255
183,Gwiezdne wojny: Część V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back,http://www.filmweb.pl/Imperium.Kontratakuje,1980,82,164892
184,Człowiek z blizną,Scarface,http://www.filmweb.pl/film/Cz%C5%82owiek+z+blizn%C4%85-1983-4833,1983,83,164101
185,Pasja,The Passion of the Christ,http://www.filmweb.pl/Pasja,2004,74,164724
186,Step Up - Taniec zmysłów,Step Up,http://www.filmweb.pl/Step.Up.Taniec.Zmyslow,2006,70,164330
187,Wojna polsko-ruska,,http://www.filmweb.pl/film/Wojna+polsko-ruska-2009-298581,2009,51,164160
188,Ted,,http://www.filmweb.pl/film/Ted-2012-609699,2012,66,163520
189,Trainspotting,,http://www.filmweb.pl/Trainspotting,1996,78,163826
190,To właśnie miłość,Love Actually,http://www.filmweb.pl/To.Wlasnie.Milosc,2003,77,162344
191,Sweeney Todd: Demoniczny golibroda z Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,http://www.filmweb.pl/Sweeney.Todd,2007,76,162315
192,Kevin sam w Nowym Jorku,Home Alone 2: Lost in New York,http://www.filmweb.pl/film/Kevin+sam+w+Nowym+Jorku-1992-6722,1992,68,160880
193,Życie jest piękne,La vita è bella,http://www.filmweb.pl/Zycie.Jest.Piekne,1997,84,159071
194,A.I. Sztuczna inteligencja,Artificial Intelligence: AI,http://www.filmweb.pl/film/A.I.+Sztuczna+inteligencja-2001-3673,2001,73,159760
195,Inni,The Others,http://www.filmweb.pl/Inni,2001,74,160586
196,Pearl Harbor,,http://www.filmweb.pl/Pearl.Harbor,2001,74,161474
197,Pojutrze,The Day After Tomorrow,http://www.filmweb.pl/Pojutrze,2004,69,160667
198,Gwiezdne wojny: Część VI - Powrót Jedi,Star Wars: Episode VI - Return of the Jedi,http://www.filmweb.pl/Powrot.Jedi,1983,82,160631
199,Poranek kojota,,http://www.filmweb.pl/film/Poranek+kojota-2001-8790,2001,73,159580
200,Juno,,http://www.filmweb.pl/Juno,2007,68,159732
201,Tożsamość Bourne'a,The Bourne Identity,http://www.filmweb.pl/film/To%C5%BCsamo%C5%9B%C4%87+Bourne%27a-2002-31497,2002,77,159257
202,Szkoła uczuć,A Walk to Remember,http://www.filmweb.pl/Szkola.Uczuc,2002,76,158704
203,Legalna blondynka,Legally Blonde,http://www.filmweb.pl/film/Legalna+blondynka-2001-31091,2001,61,158335
204,Osada,The Village,http://www.filmweb.pl/Osada,2004,62,156676
205,Szklana pułapka,Die Hard,http://www.filmweb.pl/Szklana.Pulapka,1988,76,156940
206,Terminal,The Terminal,http://www.filmweb.pl/Terminal,2004,74,156523
207,Asterix i Obelix: Misja Kleopatra,Astérix & Obélix: Mission Cléopâtre,http://www.filmweb.pl/Asterix.Obelix.Misja.Kleopatra,2002,72,155991
208,Skazany na bluesa,,http://www.filmweb.pl/Skazany.Na.Bluesa,2005,75,155781
209,Czekolada,Chocolat,http://www.filmweb.pl/film/Czekolada-2000-4545,2000,75,155404
210,Obcy - decydujące starcie,Aliens,http://www.filmweb.pl/Obcy.Decydujace.Starcie,1986,76,155134
211,The Social Network,,http://www.filmweb.pl/film/The+Social+Network-2010-528258,2010,71,155218
212,Anioły i demony,Angels & Demons,http://www.filmweb.pl/film/Anio%C5%82y+i+demony-2009-330332,2009,70,154775
213,Kill Bill 2,Kill Bill: Vol. 2,http://www.filmweb.pl/2.Kill.Bill,2004,74,154480
214,Iluzja,Now You See Me,http://www.filmweb.pl/film/Iluzja-2013-623761,2013,74,152394
215,Wróg u bram,Enemy at the Gates,http://www.filmweb.pl/Wrog.U.Bram,2001,80,152855
216,Jestem na tak,Yes Man,http://www.filmweb.pl/film/Jestem+na+tak-2008-450915,2008,70,153384
217,Eurotrip,EuroTrip,http://www.filmweb.pl/film/Eurotrip-2004-108122,2004,70,152943
218,Wesele,,http://www.filmweb.pl/Wesele,2004,75,152271
219,Mamma Mia!,,http://www.filmweb.pl/film/Mamma+Mia%21-2008-375547,2008,65,151192
220,Oszukać przeznaczenie,Final Destination,http://www.filmweb.pl/film/Oszuka%C4%87+przeznaczenie-2000-1076,2000,67,151017
221,Donnie Darko,,http://www.filmweb.pl/Donnie.Darko,2001,77,151776
222,Vicky Cristina Barcelona,,http://www.filmweb.pl/film/Vicky+Cristina+Barcelona-2008-405077,2008,71,151306
223,Buntownik z wyboru,Good Will Hunting,http://www.filmweb.pl/film/Buntownik+z+wyboru-1997-21,1997,81,150861
224,Matrix Rewolucje,The Matrix Revolutions,http://www.filmweb.pl/Matrix.Rewolucje,2003,71,150266
225,Jak wytresować smoka,How to Train Your Dragon,http://www.filmweb.pl/film/Jak+wytresowa%C4%87+smoka-2010-331014,2010,79,150418
226,Desperado,,http://www.filmweb.pl/Desperado,1995,71,150923
227,Egzorcyzmy Emily Rose,The Exorcism of Emily Rose,http://www.filmweb.pl/Egzorcyzmy.Emily.Rose,2005,71,150363
228,Next,,http://www.filmweb.pl/Next,2007,70,150264
229,Gnijąca panna młoda Tima Burtona,Corpse Bride,http://www.filmweb.pl/Gnijaca.Panna.Mloda,2005,76,150310
230,Kiler-ów 2-óch,,http://www.filmweb.pl/film/Kiler-%C3%B3w+2-%C3%B3ch-1999-80,1999,72,148436
231,Taksówkarz,Taxi Driver,http://www.filmweb.pl/Taksowkarz,1976,80,149091
232,Wszystko za życie,Into the Wild,http://www.filmweb.pl/Wszystko.Za.Zycie,2007,80,148397
233,Batman,,http://www.filmweb.pl/Batman,1989,73,148578
234,Poznaj moich rodziców,Meet the Fockers,http://www.filmweb.pl/Poznaj.Moich.Rodzicow,2004,67,147650
235,Jumper,,http://www.filmweb.pl/Jumper,2008,68,147703
236,Odlot,Up,http://www.filmweb.pl/Odlot,2009,74,145740
237,Ocean's Eleven: Ryzykowna gra,Ocean's Eleven,http://www.filmweb.pl/film/Ocean%27s+Eleven%3A+Ryzykowna+gra-2001-8263,2001,76,147257
238,Iron Man 2,,http://www.filmweb.pl/film/Iron+Man+2-2010-478702,2010,74,146903
239,Igrzyska śmierci: W pierścieniu ognia,The Hunger Games: Catching Fire,http://www.filmweb.pl/film/Igrzyska+%C5%9Bmierci%3A+W+pier%C5%9Bcieniu+ognia-2013-627599,2013,75,145590
240,W pogoni za szczęściem,The Pursuit of Happyness,http://www.filmweb.pl/W.Pogoni.Za.Szczesciem,2006,82,146146
241,Aviator,The Aviator,http://www.filmweb.pl/Aviator,2004,67,146171
242,Znaki,Signs,http://www.filmweb.pl/Znaki,2002,62,145305
243,Blow,,http://www.filmweb.pl/film/Blow-2001-4258,2001,79,145610
244,American Gangster,,http://www.filmweb.pl/American.Gangster,2007,78,145174
245,Grindhouse: Death Proof,Death Proof,http://www.filmweb.pl/Grindhouse.Death.Proof,2007,71,144139
246,Dziewiąte wrota,The Ninth Gate,http://www.filmweb.pl/film/Dziewi%C4%85te+wrota-1999-10682,1999,73,141970
247,"Klik: I robisz, co chcesz",Click,http://www.filmweb.pl/Klik.I.Robisz.Co.Chcesz,2006,66,140814
