Odlot,Up,http://www.filmweb.pl/Odlot,2009,74,145740
Ocean's Eleven: Ryzykowna gra,Ocean's Eleven,http://www.filmweb.pl/film/Ocean%27s+Eleven%3A+Ryzykowna+gra-2001-8263,2001,76,147257
Iron Man 2,,http://www.filmweb.pl/film/Iron+Man+2-2010-478702,2010,74,146903
Igrzyska śmierci: W pierścieniu ognia,The Hunger Games: Catching Fire,http://www.filmweb.pl/film/Igrzyska+%C5%9Bmierci%3A+W+pier%C5%9Bcieniu+ognia-2013-627599,2013,75,145590
W pogoni za szczęściem,The Pursuit of Happyness,http://www.filmweb.pl/W.Pogoni.Za.Szczesciem,2006,82,146146
Aviator,The Aviator,http://www.filmweb.pl/Aviator,2004,67,146171
Znaki,Signs,http://www.filmweb.pl/Znaki,2002,62,145305
Blow,,http://www.filmweb.pl/film/Blow-2001-4258,2001,79,145610
American Gangster,,http://www.filmweb.pl/American.Gangster,2007,78,145174
Grindhouse: Death Proof,Death Proof,http://www.filmweb.pl/Grindhouse.Death.Proof,2007,71,144139
Dziewiąte wrota,The Ninth Gate,http://www.filmweb.pl/film/Dziewi%C4%85te+wrota-1999-10682,1999,73,141970
"Klik: I robisz, co chcesz",Click,http://www.filmweb.pl/Klik.I.Robisz.Co.Chcesz,2006,66,140814
Gwiezdne wojny: Część III - Zemsta Sithów,Star Wars: Episode III - Revenge of the Sith,http://www.filmweb.pl/Zemsta.Sithow,2005,77,140054
Służące,The Help,http://www.filmweb.pl/film/S%C5%82u%C5%BC%C4%85ce-2011-567127,2011,81,138313
Prawo zemsty,Law Abiding Citizen,http://www.filmweb.pl/film/Prawo+zemsty-2009-475202,2009,79,139958
Drive,,http://www.filmweb.pl/film/Drive-2011-399746,2011,72,138802
Wściekłe psy,Reservoir Dogs,http://www.filmweb.pl/Wsciekle.Psy,1992,80,138004
Mechaniczna pomarańcza,A Clockwork Orange,http://www.filmweb.pl/Mechaniczna.Pomarancza,1971,80,138700
Parnassus,The Imaginarium of Doctor Parnassus,http://www.filmweb.pl/Parnassus,2009,66,138745
Telefon,Phone Booth,http://www.filmweb.pl/Telefon,2002,70,138708
Przerwana lekcja muzyki,"Girl, Interrupted",http://www.filmweb.pl/Przerwana.Lekcja.Muzyki,1999,80,138321
13 Dzielnica,Banlieue 13,http://www.filmweb.pl/13.Dzielnica,2004,71,137830
To nie jest kraj dla starych ludzi,No Country for Old Men,http://www.filmweb.pl/To.Nie.Jest.Kraj.Dla.Starych.Ludzi,2007,75,138507
Epoka lodowcowa 2: Odwilż,Ice Age 2: The Meltdown,http://www.filmweb.pl/2.Epoka.Lodowcowa,2006,72,138289
